N, time mcs
722, 59162
723, 52806
724, 160428
725, 70713
726, 89866
727, 38414
728, 38938
729, 40372
730, 38339
731, 40027
732, 43498
733, 43323
734, 56190
735, 124797
736, 39449
737, 51432
738, 36458
739, 39209
740, 50010
741, 209876
742, 147691
743, 96363
744, 47855
745, 41315
746, 37969
747, 43070
748, 38425
749, 47564
750, 42191
751, 38490
752, 40039
753, 42345
754, 36967
755, 37344
756, 37420
757, 35655
758, 37825
759, 47938
760, 45062
761, 39063
762, 41647
763, 49264
764, 54783
765, 50841
766, 51846
767, 42422
768, 47263
769, 45056
770, 43018
771, 47154
772, 48947
773, 51294
774, 47518
775, 41323
776, 41384
777, 41572
778, 41652
779, 48872
780, 51957
781, 51486
782, 46495
783, 47945
784, 43004
785, 42728
786, 45824
787, 53800
788, 44644
789, 43330
790, 45152
791, 67882
792, 39858
793, 40238
794, 37378
795, 40489
796, 39591
797, 40212
798, 39106
799, 38887
800, 41573
801, 41473
802, 39334
803, 42248
804, 58983
805, 44955
806, 57024
807, 55539
808, 55405
809, 42045
810, 45590
811, 45074
812, 46761
813, 56862
814, 60340
815, 58139
816, 58612
817, 58634
818, 49169
819, 48910
820, 46120
821, 45345
822, 48796
823, 40744
824, 49791
825, 58315
826, 52699
827, 62533
828, 52786
829, 57095
830, 58015
831, 53403
832, 52945
833, 45468
834, 46032
835, 46234
836, 44200
837, 48218
838, 42434
839, 43147
840, 40326
841, 42236
842, 128732
843, 60487
844, 54980
845, 68931
846, 51924
847, 59051
848, 48726
849, 46461
850, 46390
851, 72111
852, 42787
853, 40823
854, 54673
855, 46136
856, 41294
857, 41388
858, 44983
859, 73933
860, 58233
861, 41514
862, 43588
863, 43118
864, 44085
865, 51197
866, 55318
867, 47389
868, 48525
869, 49449
870, 51309
871, 72128
872, 49158
873, 50565
874, 47275
875, 49310
876, 48298
877, 42928
878, 49099
879, 47931
880, 47049
881, 56788
882, 56529
883, 52655
884, 51404
885, 56306
886, 52097
887, 57736
888, 57813
889, 56402
890, 58234
